"","a.key","a.AIC","a.CvonM_p","a.P_enc_medio","a.SE_P_enc_medio","a.Muestreo","b.Modelo","b.Región","b.D_est","b.SE","b.Lcl","b.Ucl","b.Group_Size_est","b.SE_grupo","b.N_est","b.LclN","b.UclN","b.Muestreo"
"80",unif,1306.2380,0.41166682,0.5719814,0.02988878,27,unif,ML,25.140152, 8.0147412,13.166492, 48.002704,13.660714, 3.2270896,15461.193, 8097.393,29521.663,27
"81",hr,1307.3520,0.58609400,0.5683575,0.06241098,27,hr,ML,25.300449, 8.4278418,12.973103, 49.341527,13.660714, 3.2270896,15559.776, 7978.458,30345.039,27
"82",hn,2060.8787,0.14603169,0.6074144,0.08218210,28,hn,ML,20.331465, 6.7584054,10.481858, 39.436563, 7.423729, 0.9897535,12503.851, 6446.343,24253.486,28
"83",unif,2060.4910,0.05297964,0.5565146,0.02188830,28,unif,ML,22.191016, 6.7941659,11.900631, 41.379418, 7.423729, 0.9897535,13647.475, 7318.888,25448.342,28
"84",hr,2056.4526,0.14808604,0.6015175,0.04155663,28,hr,ML,20.530781, 6.3931043,10.926778, 38.576144, 7.423729, 0.9897535,12626.430, 6719.969,23724.329,28
"85",hn,2302.1954,0.44220489,0.6020733,0.03907353,29,hn,ML,14.330180, 3.7845403, 8.370874, 24.531975, 4.683673, 0.5645042, 8813.061, 5148.087,15087.165,29
"86",unif,2302.7283,0.78875138,0.6735477,0.07099803,29,unif,ML,12.809516, 3.5463132, 7.336470, 22.365483, 4.683673, 0.5645042, 7877.852, 4511.929,13754.772,29
"87",hr,2303.6135,0.79993530,0.6735998,0.04379506,29,hr,ML,12.808524, 3.3830494, 7.481679, 21.928003, 4.683673, 0.5645042, 7877.242, 4601.233,13485.722,29
"88",hn,2098.8288,0.61378703,0.6296212,0.04362793,30,hn,ML,23.958194, 5.9604821,14.439153, 39.752681, 9.016854, 1.6108683,14734.289, 8880.079,24447.899,30
"89",unif,2100.6382,0.44067314,0.6127888,0.03516108,30,unif,ML,24.616291, 6.0490880,14.905213, 40.654354, 9.016854, 1.6108683,15139.019, 9166.706,25002.428,30
"90",hr,2100.0232,0.67115288,0.7202328,0.04552886,30,hr,ML,20.944042, 5.1765886,12.654074, 34.664957, 9.016854, 1.6108683,12880.586, 7782.255,21318.948,30
"91",hn,2212.1661,0.29783005,0.8155761,0.06485613,31,hn,ML,10.694041, 3.0184205, 6.035942, 18.946922, 5.016216, 0.6277168, 6576.835, 3712.104,11652.357,31
"92",unif,2213.4534,0.43637777,0.8474400,0.14783628,31,unif,ML,10.291944, 3.3154717, 5.451752, 19.429369, 5.016216, 0.6277168, 6329.545, 3352.828,11949.062,31
"93",hr,2210.3262,0.71089811,0.8805185,0.04222817,31,hr,ML, 9.905305, 2.7242791, 5.651609, 17.360554, 5.016216, 0.6277168, 6091.763, 3475.740,10676.741,31
"94",hn,2652.4354,0.80926867,0.5974474,0.03395576,32,hn,ML,18.987420, 4.4836771,11.720472, 30.760036, 5.340708, 0.6424376,11677.264, 7208.090,18917.422,32
"95",unif,2652.2591,0.73962515,0.5897694,0.02572919,32,unif,ML,19.234612, 4.4876796,11.924170, 31.026924, 5.340708, 0.6424376,11829.287, 7333.365,19081.558,32
"96",hr,2652.8289,0.98440858,0.6477821,0.04328124,32,hr,ML,17.512038, 4.1807870,10.766657, 28.483444, 5.340708, 0.6424376,10769.903, 6621.494,17517.318,32
"97",hn,1800.2778,0.53680688,0.6126377,0.04081724,33,hn,ML,24.959864, 5.7006861,15.669689, 39.757955,10.633987, 2.3476475,15350.316, 9636.859,24451.142,33
"98",unif,1799.3083,0.59758971,0.6046500,0.03315279,33,unif,ML,25.289594, 5.6961253,15.954542, 40.086614,10.633987, 2.3476475,15553.100, 9812.043,24653.267,33
"99",hr,1801.9359,0.74669481,0.5596217,0.07349397,33,hr,ML,27.324447, 6.9648915,16.430746, 45.440749,10.633987, 2.3476475,16804.535,10104.908,27946.061,33
"100",hn,1769.3958,0.57945001,0.5480849,0.03514101,34,hn,ML,17.925675, 4.4407382,10.819241, 29.699850, 6.861842, 1.2994562,11024.290, 6653.833,18265.407,34
"101",unif,1768.9365,0.56939165,0.5590674,0.02447023,34,unif,ML,17.573539, 4.2749372,10.678888, 28.919609, 6.861842, 1.2994562,10807.726, 6567.516,17785.560,34
"102",hr,1769.0210,0.73199883,0.5602002,0.05180023,34,hr,ML,17.538004, 4.4990979,10.441230, 29.458368, 6.861842, 1.2994562,10785.872, 6421.356,18116.896,34
"103",hn,1668.7838,0.79492760,0.5607816,0.03873888,35,hn,ML,24.234435, 4.4556486,16.671024, 35.229258,10.111888, 1.6973080,14904.177,10252.680,21665.994,35
"104",unif,1668.6812,0.80907301,0.5640836,0.02702307,35,unif,ML,24.092572, 4.2641809,16.757045, 34.639285,10.111888, 1.6973080,14816.932,10305.582,21303.161,35
"105",hr,1670.1379,0.85257630,0.6131734,0.05011142,35,hr,ML,22.163756, 4.1883005,15.118633, 32.491831,10.111888, 1.6973080,13630.710, 9297.959,19982.476,35
"106",hn,2076.9148,0.32009246,0.5946997,0.04083639,36,hn,ML,19.802122, 5.3249665,11.461847, 34.211242, 7.079096, 1.1283111,12178.305, 7049.036,21039.914,36
"107",unif,2076.8094,0.44860673,0.6666030,0.07009781,36,unif,ML,17.666160, 4.9545545,10.044843, 31.069993, 7.079096, 1.1283111,10864.688, 6177.579,19108.046,36
"108",hr,2077.5483,0.31424370,0.7159592,0.03714604,36,hr,ML,16.448306, 4.3607754, 9.575015, 28.255492, 7.079096, 1.1283111,10115.708, 5888.634,17377.127,36
"109",hn,2442.4377,0.27864852,0.5452870,0.02823905,37,hn,ML,28.404714, 6.2618038,18.087988, 44.605723, 7.847619, 1.3631675,17468.899,11124.113,27432.519,37
"110",unif,2440.1329,0.57560431,0.5022236,0.03551403,37,unif,ML,30.840293, 6.9590103,19.481001, 48.823144, 7.847619, 1.3631675,18966.780,11980.815,30026.234,37
"111",hr,2442.5440,0.57176041,0.5018560,0.04917746,37,hr,ML,30.862884, 7.2720114,19.186916, 49.644120, 7.847619, 1.3631675,18980.673,11799.954,30531.134,37
"112",hn,2291.5457,0.50844412,0.6053216,0.03847132,38,hn,ML,21.659399, 4.2686988,14.487694, 32.381244, 7.153846, 1.0556127,13320.530, 8909.932,19914.465,38
"113",unif,2291.4902,0.85091644,0.6622907,0.06891723,38,unif,ML,19.796295, 4.2287540,12.887169, 30.409571, 7.153846, 1.0556127,12174.721, 7925.609,18701.886,38
"114",hr,2292.1750,0.88131274,0.6689813,0.04513425,38,hr,ML,19.598310, 3.8878946,13.081965, 29.360556, 7.153846, 1.0556127,12052.961, 8045.409,18056.742,38
"115",hn,3847.5381,0.92629701,0.5955459,0.02797531,39,hn,ML,33.172318, 6.3270961,22.428825, 49.061986, 6.408537, 0.9919578,20400.976,13793.727,30173.122,39
"116",unif,3847.8433,0.92021611,0.5881260,0.02156714,39,unif,ML,33.590829, 6.3305768,22.791781, 49.506611, 6.408537, 0.9919578,20658.360,14016.945,30446.566,39
"117",hr,3850.9606,0.79576606,0.6314159,0.03897901,39,hr,ML,31.287838, 6.0978294,21.016733, 46.578542, 6.408537, 0.9919578,19242.020,12925.291,28645.803,39
"118",hn,1398.6590,0.98173613,0.7958924,0.07493109,40,hn,ML,22.236700, 3.9640847,15.541612, 31.815930,14.666667, 1.9336783,13675.571, 9558.091,19566.797,40
"119",unif,1399.3938,0.93074694,0.7756909,0.07925451,40,unif,ML,22.815816, 4.1669285,15.825381, 32.894088,14.666667, 1.9336783,14031.727, 9732.609,20229.864,40
"120",hr,1400.1151,0.99498206,0.8694778,0.06269935,40,hr,ML,20.354770, 3.4130355,14.485767, 28.601637,14.666667, 1.9336783,12518.183, 8908.747,17590.007,40
"121",hn,1510.7284,0.82333867,0.7142523,0.05701533,41,hn,ML,11.421924, 2.1150895, 7.818908, 16.685241, 5.622047, 0.9122571, 7024.484, 4808.628,10261.423,41
"122",unif,1509.6701,0.83364885,0.6819513,0.05295597,41,unif,ML,11.962929, 2.2041975, 8.201320, 17.449834, 5.622047, 0.9122571, 7357.201, 5043.812,10731.648,41
"123",hr,1512.0723,0.85282323,0.7373355,0.08064895,41,hr,ML,11.064346, 2.2096190, 7.395421, 16.553452, 5.622047, 0.9122571, 6804.573, 4548.184,10180.373,41
